PLANILHA DE MANEJO DE IRRIGAÇÃO,,,,,,,,,,
Propriedade:,,,Responsável:,,,Data início:,,,
Cultura:,,,Área (ha):,,,Sistema de irrigação:,,,
,,,,,,,,,,
=== DADOS DA CULTURA ===,,,,,,,,,,
Cultura,Fase Fenológica,Kc,ETc (mm/dia),Duração (dias),Data Início Fase,Data Fim Fase,Obs,,
,,,,,,,,,,
Plantio / Germinação,,0.40,,,,,,,
Desenvolvimento,,0.75,,,,,,,
Intermediário,,1.15,,,,,,,
Final,,0.80,,,,,,,
,,,,,,,,,,
=== DADOS CLIMÁTICOS E ETo ===,,,,,,,,,,
Mês,ETo ref. (mm/dia),Precipitação (mm),Temp. Max (°C),Temp. Min (°C),Umidade Rel. (%),Vel. Vento (m/s),Obs,,
Janeiro,,,,,,,,
Fevereiro,,,,,,,,
Março,,,,,,,,
Abril,,,,,,,,
Maio,,,,,,,,
Junho,,,,,,,,
Julho,,,,,,,,
Agosto,,,,,,,,
Setembro,,,,,,,,
Outubro,,,,,,,,
Novembro,,,,,,,,
Dezembro,,,,,,,,
,,,,,,,,,,
=== BALANÇO HÍDRICO DIÁRIO ===,,,,,,,,,,
Data,Fase,Kc,ETo (mm),ETc (mm),Precipitação (mm),Irrigação Aplicada (mm),Saldo Hídrico (mm),Umidade Solo (%),Turno de Rega (dias),Irrigar? (S/N),Obs
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
=== PARÂMETROS DO SOLO ===,,,,,,,,,,
Parâmetro,Valor,Unidade,Obs,,,,,,
Textura do solo,,,,,,,,
Capacidade de Campo (CC),,%, vol.,,,,,,
Ponto de Murcha Permanente (PMP),,%, vol.,,,,,,
Água Disponível Total (ADT),=(CC-PMP)*Prof./10,mm,,,,,,
Fração de Água Disponível (f),,adimensional,,,,,,
Água Facilmente Disponível (AFD),=ADT*f,mm,,,,,,
Profundidade Efetiva Raízes,,cm,,,,,,
Densidade Aparente,,g/cm³,,,,,,
,,,,,,,,,,
=== SISTEMA DE IRRIGAÇÃO ===,,,,,,,,,,
Parâmetro,Valor,Unidade,Obs,,,,,,
Tipo de sistema,,,,,,,,
Eficiência de irrigação (Ei),,%,,,,,,
Vazão total disponível,,m³/h,,,,,,
Área irrigada,,ha,,,,,,
Lâmina bruta = Lâmina líq. / Ei,,mm,,,,,,
Tempo de irrigação,,h,,,,,,
Volume total por irrigação,,m³,,,,,,
,,,,,,,,,,
=== REGISTRO DE IRRIGAÇÕES ===,,,,,,,,,,
Nº,Data,Turno (dias),Lâmina Líquida (mm),Lâmina Bruta (mm),Volume (m³),Tempo (h),Equipamento utilizado,Operador,Obs,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
,,,,,,,,,,
=== RESUMO DA SAFRA ===,,,,,,,,,,
Parâmetro,Valor,Unidade,,,,,,,,
Total irrigado (lâmina),,"mm",,,,,,,,
Total irrigado (volume),,"m³",,,,,,,,
Número de irrigações,,,,,,,,,
Precipitação total,,mm,,,,,,,,
ETc total acumulada,,mm,,,,,,,,
Déficit / Superávit hídrico,,mm,,,,,,,,
Custo estimado de energia,,R$,,,,,,,,
